4/22/2012 19:56:38,Computer Engineering,,Sophomore,0-3 hours,2,,Physics
5/3/2012 16:22:28,Computer Engineering,,Sophomore,0-3 hours,2,,ECE 190 helps with logic
5/3/2012 16:26:29,Computer Engineering,,Freshman,0-3 hours,2,,Doing robotics for 10 years..
5/3/2012 16:28:15,Electrical Engineering,,Sophomore,0-3 hours,2,,Physics E&M in HS
5/3/2012 17:06:46,Electrical Engineering,,Freshman,4-7 hours,3,,basic physics
5/3/2012 17:36:46,Electrical Engineering,,Junior,4-7 hours,2,,none
5/3/2012 18:16:08,Computer Engineering,,Freshman,4-7 hours,3,This is a relatively easy course. Just do the assigned HW and readings and an A is pretty easy to get. This course isn't a good indication of the difficulty of future courses ECE though. ,"Physics E&M, a course in CS where I learnt Boolean algebra"
5/3/2012 19:28:05,Computer Engineering,,Junior,4-7 hours,2,Strictly a weed-out class.  Right when it gets interesting you move on to something else.  Everything is very surface level.,None
5/4/2012 14:57:27,Computer Engineering,,Sophomore,0-3 hours,4,,some of high school physics
5/4/2012 14:59:40,General Engineering,,Freshman,8-11 hours,4,Very well prepared. Really wants their students to succeed.,None
5/4/2012 15:00:35,Electrical Engineering,,Freshman,8-11 hours,5 - Very difficult,,none
5/4/2012 15:00:51,Computer Engineering,,Freshman,4-7 hours,3,,None
5/4/2012 15:02:22,Computer Science,,Sophomore,0-3 hours,1 - Very easy,,phys212 cs231
5/4/2012 15:02:40,General Engineering,,Junior,8-11 hours,4,,None
5/4/2012 15:03:06,Computer Engineering,,Freshman,0-3 hours,2,The procedures in lab manual are not as detailed as I expected,Rhet105
5/4/2012 15:03:59,Electrical Engineering,,Freshman,0-3 hours,4,,none
5/4/2012 15:05:44,Computer Science,,Freshman,0-3 hours,4,,Basic Math Skills and CS courses
5/4/2012 15:07:56,General Engineering,,Freshman,4-7 hours,5 - Very difficult,Brunet's lectures were more helpful than Frizzel's ,N/A
5/4/2012 15:09:07,Industrial Engineering,,Sophomore,4-7 hours,4,,High school
